Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
82.724915,30,38.04711715,8.560601359,7,58.476,224.352,31.425,240.4035,21477,2.060921878,0.19852592,30,3.460602668,10.93171385,29.75606522,4.029953723,3.753268958,1559.842442,35.4154603,1145.881773,10.17798498,893.0590858,132.4462447,36.5710093,127.9295509,3602.488878,69247.744
80.175069,30,37.86820549,8.520346236,7,58.459,224.324,31.42,240.36525,21474,2.021703813,0.201348818,30,3.716991595,10.88619682,29.7053799,4.239007102,3.760448835,1556.799492,35.84197413,1143.752106,10.30316616,891.1207517,132.0453424,37.03474999,127.6900243,3595.708182,72324.06569
80.235649,30,38.47559729,8.657009391,7,53.069,224.373,30.827,235.8258,19620,1.988403241,0.204249516,30,3.948905391,10.83947968,29.65457508,4.42589542,3.767987831,1553.863316,36.28442361,1141.697964,10.42245919,889.2363401,131.663352,37.46918076,127.4572745,3589.182089,72304.29593
80.808234,30,39.05534514,8.787452657,7,51.462,220.973,30.27,231.56925,19334,1.968774335,0.206820525,30,4.099946092,10.83925342,29.60416953,4.553720504,3.769653603,1551.185006,36.67572441,1139.80223,10.51176828,887.4977026,131.3456269,37.78778514,127.2495605,3583.227421,70424.95147
83.947838,30,40.63283798,9.142388546,7,49.73,217.74,29.719,227.3496,18978,1.955630251,0.209549722,30,4.213222571,10.84553244,29.54944921,4.650235714,3.770967083,1548.661561,37.09907408,1138.010777,10.59688091,885.833095,131.056839,38.05595729,127.0526799,3577.643861,70128.3073
88.203323,30,42.71271483,9.610360837,7,47.194,214.339,29.059,222.30285,18321,1.947738134,0.212461444,30,4.287832175,10.85623066,29.49284577,4.715285997,3.772064646,1546.214549,37.55676815,1136.264664,10.67821914,884.1926385,130.7893167,38.27088451,126.8594241,3572.243664,69766.99907
93.782702,30,45.78788542,10.30227422,7,47.16,219.925,29.676,227.02215,17855,1.945541619,0.215431425,30,4.317797723,10.87668818,29.43855643,4.746252279,3.771985266,1543.812337,38.02599295,1134.53689,10.75180856,882.5585041,130.5428179,38.42418524,126.6677948,3566.935655,69106.23618
94.211897,30,45.66357137,10.27430356,7,44.126,213.292,28.602,218.8053,17237,1.947704088,0.218390516,30,4.31245833,10.90113421,29.38989137,4.750613436,3.771260468,1541.499533,38.49520736,1132.865524,10.82057881,880.959254,130.3154553,38.53389052,126.4811814,3561.814133,68640.01371
90.69359,30,44.2938539,9.966117132,7,40.893,207.115,27.556,210.8064,16453,1.953628486,0.221117965,30,4.274068658,10.93264522,29.35114824,4.730800829,3.769194234,1539.429933,38.9291783,1131.367353,10.88177084,879.4933756,130.1207677,38.60740154,126.3138265,3557.221103,68023.51789
87.748895,30,43.69325295,9.830981914,7,39.927,201.059,26.776,204.8379,16548,1.96273594,0.223374673,30,4.206120498,10.97504386,29.32640211,4.68918522,3.765002757,1537.804587,39.29096021,1130.194848,10.93148884,878.2895199,129.9773318,38.65225434,126.1843244,3553.611575,67242.43395
81.689829,30,41.18443509,9.266497896,7,38.351,196.112,26.051,199.29315,16295,1.970925479,0.225238922,30,4.138930995,11.00670934,29.31735278,4.644639313,3.76138658,1536.794358,39.59825765,1129.490391,10.97980061,877.4524349,129.8851155,38.71696102,126.1052686,3551.395773,67346.55588
81.205098,30,41.23894258,9.278762081,7,33.82,190.698,24.946,190.8399,14743,1.977947125,0.226488107,30,4.069884562,11.03719623,29.32737887,4.594633251,3.7568546,1536.584968,39.81706184,1129.390741,11.01888905,877.1022998,129.8660518,38.79620555,126.0947252,3550.997951,67101.1012
69.864561,30,37.81056681,8.507377533,7,30.127,183.215,23.705,181.341,13613,1.987943995,0.226713938,30,3.969694706,11.09989539,29.35904914,4.519138479,3.746851197,1537.284403,39.8793494,1129.960542,11.02797833,877.3164737,129.9518099,38.83814233,126.1670842,3552.647553,65552.78733
70.783518,30,35.54429078,7.997465426,7,27.179,174.894,22.453,171.76245,12807,2.000179675,0.226018847,30,3.849907343,11.18386447,29.4115554,4.423699006,3.732874765,1538.88527,39.80252722,1131.198041,11.01008847,878.0914354,130.1376994,38.85405072,126.320621,3556.339221,64436.1617
65.087997,30,32.26170237,7.258883034,7,24.696,166.418,21.235,162.447,12173,2.014231538,0.224479351,30,3.716136657,11.27913002,29.48525688,4.310084692,3.716244716,1541.333852,39.59791864,1133.06428,10.96570709,879.3956456,130.417775,38.84461127,126.5497453,3561.954178,63654.6484
60.260941,30,29.49969661,6.637431738,7,22.34,157.98,20.036,153.2724,11533,2.030901437,0.222132494,30,3.566927711,11.37990139,29.58091366,4.175989067,3.697716519,1544.565342,39.26943158,1135.507678,10.89269699,881.1902872,130.7884365,38.79961173,126.8482902,3569.340803,63053.99469
57.665647,30,28.02133887,6.304801246,7,22.416,150.774,19.243,147.2112,12198,2.0521421,0.218989409,30,3.395012568,11.48538008,29.69879089,4.016043917,3.677423347,1548.532042,38.81666363,1138.484809,10.78757106,883.4452799,131.2500727,38.70104918,127.2118753,3578.381282,62452.8601
55.353103,30,26.60855863,5.986925692,7,20.641,144.789,18.381,140.6154,11640,2.074330847,0.215341655,30,3.22483048,11.56307737,29.838974,3.845287226,3.659668661,1553.308396,38.29080767,1142.060275,10.66425146,886.196155,131.7934697,38.58699487,127.6423355,3589.263054,63167.70237
52.000429,30,24.51188109,5.515173246,7,20.38,139.342,17.747,135.7638,11978,2.104752066,0.21098124,30,3.019395144,11.64357992,29.99957344,3.641290779,3.640581543,1558.850528,37.65306995,1146.175113,10.50753783,889.4162933,132.4355356,38.39509656,128.1390739,3601.854632,62652.44588
52.505349,30,24.82153429,5.584845216,7,21.877,136.217,17.566,134.3799,13272,2.142800163,0.206148867,30,2.795689192,11.70491184,30.17812369,3.415026967,3.62323551,1565.246649,36.94604833,1150.898392,10.32950674,893.1484471,133.1720889,38.15336096,128.705964,3616.368794,63037.27547
53.010269,30,24.94770749,5.613234186,7,20.272,133.834,17.123,130.9902,12452,2.185692489,0.201073985,30,2.571631954,11.72366009,30.37236546,3.178164936,3.610870973,1572.587648,36.21024588,1156.304377,10.14228928,897.4381278,133.9986738,37.89193224,129.3472296,3633.026659,64379.07295
52.606333,30,25.00477693,5.62607481,7,21.441,131.837,17.031,130.2864,13453,2.248640694,0.19552309,30,2.301625071,11.75030573,30.57403848,2.903395377,3.59737417,1580.568861,35.39646321,1162.129669,9.927355782,902.1047722,134.9151565,37.52809981,130.0419746,3651.083276,63591.85245
53.086007,30,24.96204447,5.616460006,7,21.895,131.328,17.025,130.23975,13815,2.327348335,0.18989703,30,2.030355169,11.73804681,30.77936971,2.617414673,3.589163314,1589.201419,34.57451579,1168.405028,9.707375293,907.1460362,135.8964265,37.12851774,130.7848759,3670.592629,64632.53156
52.606333,30,24.88022693,5.59805106,7,21.843,131.113,16.995,130.0125,13803,2.429014863,0.184223717,30,1.752778956,11.69808476,30.98114573,2.316988079,3.585219454,1598.127931,33.74095073,1174.854506,9.4801607,912.3494811,136.9154687,36.67069993,131.5463371,3690.71583,65027.8849
52.656825,30,24.71873825,5.561716107,7,19.724,129.632,16.595,126.9525,12514,2.562260473,0.178578414,30,1.474875886,11.63363354,31.17203652,2.005044291,3.58558686,1606.936749,32.90075932,1181.166921,9.246936476,917.4708283,137.9352253,36.14567142,132.2911109,3710.491904,65043.16334
52.682071,30,24.59411391,5.53367563,7,19.397,127.223,16.291,124.6269,12542,2.744064014,0.17292313,30,1.194322877,11.56321914,31.3445552,1.678474323,3.588333292,1615.093146,32.0370446,1186.927425,9.002165109,922.1941137,138.9144542,35.52319225,132.9745608,3728.654544,63775.43383
52.404365,30,24.47942165,5.507869872,7,18.065,124.57,15.848,121.23945,11865,2.962369129,0.167513306,30,0.951875596,11.44856849,31.49750624,1.363173935,3.598545587,1622.395378,31.19180419,1192.010852,8.76134351,926.3983458,139.8122659,34.85745896,133.57518,3744.752784,63833.26808
52.151905,30,24.21330505,5.447993637,7,18.032,122.009,15.56,119.03475,12118,3.213816743,0.162315412,30,0.747754552,11.30081482,31.62960994,1.064752141,3.614749586,1628.501681,30.35296248,1196.157498,8.521938574,929.8821796,140.5955217,34.14179603,134.0651153,3757.968668,63183.20301
52.061009,30,24.04400289,5.409900651,7,17.431,119.832,15.252,116.67405,11906,3.469015886,0.157454909,30,0.595291385,11.10768193,31.74272691,0.80446156,3.638189368,1633.356145,29.54305495,1199.345978,8.29340764,932.6130618,141.2402224,33.41622565,134.4401411,3768.176987,63463.58781
52.444756,30,24.02832276,5.406372621,7,17.354,117.937,15.032,114.99705,12059,3.716010759,0.152864496,30,0.481317447,10.89000655,31.83819774,0.589537144,3.665765789,1636.947919,28.75158321,1201.564393,8.074193231,934.5842833,141.7394909,32.68188379,134.7028278,3775.324829,63269.87038
52.757809,30,24.15801089,5.435552451,7,17.689,116.835,14.947,114.3453,12446,3.938293096,0.148556289,30,0.40049567,10.65490847,31.91807514,0.429934598,3.696150488,1639.447478,27.98611733,1202.948397,7.868351694,935.8967985,142.0992977,31.95901241,134.8702132,3779.807875,63433.93693
53.161745,30,24.51241145,5.515292577,7,18.368,116.724,15.01,114.828,12982,4.12572451,0.144519604,30,0.344853706,10.41151256,31.984181,0.323734371,3.727924644,1641.074266,27.25083568,1203.668177,7.677375556,936.6820575,142.3414171,31.25721753,134.9634132,3782.161309,63823.72509
53.515189,30,24.95082069,5.613934656,7,18.373,116.978,15.039,115.04835,12956,4.275911484,0.140735342,30,0.307257938,10.16768389,32.03776341,0.258052808,3.760054597,1642.049909,26.54813825,1203.894474,7.500313993,937.0741251,142.4985257,30.57693791,135.003066,3782.951293,64353.17607
54.424045,30,25.33702445,5.700830502,7,18.087,116.911,15,114.7485,12745,4.401200287,0.137120177,30,0.279255139,9.935955078,32.07930872,0.216080949,3.791042231,1642.561622,25.86738935,1203.758226,7.331710239,937.1830789,142.603339,29.90349584,135.0055461,3782.635501,64310.72849
55.151135,30,25.87738335,5.822411254,7,19.31,117.556,15.207,116.3358,13597,4.507287421,0.133648667,30,0.257862705,9.720464674,32.10914432,0.188732856,3.82042621,1642.73508,25.20697995,1203.351358,7.169131695,937.0830481,142.6754865,29.23180122,134.9815455,3781.524947,64079.46032
57.130437,30,26.56143477,5.976322824,7,20.389,119.384,15.53,118.80675,14171,4.579980176,0.1304328,30,0.245943702,9.512522262,32.12739207,0.173591209,3.849294671,1642.604307,24.5891432,1202.724456,7.016250772,936.8032564,142.7214278,28.57485564,134.9355655,3779.768571,64912.96343
63.406603,30,29.69733363,6.681900067,7,25.748,121.592,16.371,125.2389,17637,4.62970558,0.127449195,30,0.239004823,9.318227267,32.13397333,0.165539248,3.876869262,1642.166721,24.01036211,1201.873018,6.870174338,936.3434208,142.745392,27.92288343,134.8677672,3777.363699,65463.64483
77.852424,30,35.57776504,8.004997134,7,27.434,129.566,17.444,133.4496,17635,4.619022588,0.125014853,30,0.247419003,9.11626177,32.12529584,0.168898343,3.905913938,1641.325844,23.52909567,1200.790265,6.744488573,935.6699755,142.7392377,27.31266336,134.774629,3774.246255,68905.56112
92.899092,30,41.50136732,9.337807647,7,38.139,139.287,19.714,150.8121,22461,4.608922385,0.122831755,30,0.253197386,8.944986833,32.09870756,0.173776242,3.931775829,1640.105675,23.09086674,1199.421278,6.625231135,934.7715855,142.7091208,26.6947153,134.6545769,3770.314157,68856.76652
104.007371,30,46.38140691,10.43581656,7,50.426,153.938,22.707,173.7093,26276,4.523884857,0.121520527,30,0.281909062,8.768939151,32.0409937,0.194244842,3.959463561,1638.20996,22.8071608,1197.653977,6.542702519,933.506754,142.6244926,26.14232073,134.490018,3765.148247,73635.88454
123.371131,30,53.14846651,11.95840497,7,54.355,171.093,25.05,191.631,25598,4.375988227,0.121209481,30,0.331830413,8.612505924,31.93833137,0.232137037,3.986515646,1635.270336,22.69652132,1195.200492,6.504222109,931.6506752,142.4510793,25.64868843,134.2514033,3757.88777,77375.16019
137.50893,30,57.6512553,12.97153245,7,64.853,185.275,27.792,212.6088,27780,4.224181868,0.121717725,30,0.389257993,8.529576229,31.78239125,0.285187715,4.006517376,1630.868391,22.71878489,1191.662047,6.504374783,928.919686,142.146737,25.17737893,133.9007513,3747.379175,76598.07349
149.77352,30,61.4852892,13.83419007,7,75.754,200.681,30.715,234.96975,29551,3.993414446,0.123829601,30,0.497363649,8.509501426,31.55317044,0.388171295,4.021478581,1623.909998,22.9997445,1186.303325,6.584513696,924.6829744,141.5900895,24.82384188,133.3526336,3731.279837,78684.78815
156.0143,30,63.191833,14.21816243,7,88.949,214.334,33.698,257.79045,31861,3.67174209,0.128028681,30,0.689546243,8.570565133,31.24283526,0.58127089,4.02895878,1613.351257,23.60487618,1178.353539,6.767843216,918.3134379,140.6514673,24.6683395,132.5210353,3707.163666,80353.14904
154.66113,30,62.7415873,14.11685715,7,96.678,230.083,36.307,277.74705,32171,3.264490842,0.135037316,30,1.038994196,8.702447642,30.84529305,0.936255683,4.030074778,1598.275588,24.63484617,1167.143663,7.088713908,909.2513488,139.1831346,24.85541846,131.3245102,3672.869689,82557.30406
145.74417,30,59.0253957,13.28071404,7,102.536,243.93,38.496,294.4959,32180,2.853001689,0.145037699,30,1.604505201,8.889603505,30.3759709,1.502914949,4.025948411,1578.890208,26.0990599,1152.775658,7.549720127,897.5804724,137.1483333,25.48070032,129.7656236,3628.670038,82751.65955
133.19189,30,53.6271069,12.06609906,7,106.178,255.77,40.216,307.6554,31869,2.503725357,0.158299011,30,2.463402529,9.07363778,29.8517589,2.315716929,4.023670268,1555.893304,28.02430078,1135.742108,8.15793776,883.6784416,134.5693547,26.63478142,127.8822476,3576.056331,82657.45359
123.254989,30,50.82939869,11.4366147,7,95.513,269.734,40.583,310.45995,28047,2.251126233,0.174778212,30,3.646316154,9.203192112,29.29554569,3.365606574,4.02937531,1530.511968,30.39049058,1116.921238,8.904251593,868.2348561,131.5526797,28.33723252,125.7585147,3517.770802,82270.48294
