Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
82.724915,30,38.04711715,8.560601359,7,58.476,224.352,31.425,240.4035,21477,2,0.225236628,30,3.157092391,10.38595613,30.24868746,3.01143891,3.767816643,1567.904552,41.21919053,1205.180414,12.05256157,836.6369028,128.8709626,51.84467319,134.2456914,3619.927059,71476.56696
80.175069,30,37.86820549,8.520346236,7,58.459,224.324,31.42,240.36525,21474,1.999774362,0.225868541,30,3.222760017,10.32547887,30.24315117,3.059915608,3.776036265,1567.876365,41.33374662,1205.187432,12.09120913,836.599474,128.8227502,51.96888052,134.2353126,3619.897111,75127.49315
80.235649,30,38.47559729,8.657009391,7,53.069,224.373,30.827,235.8258,19620,1.99943444,0.226699359,30,3.297828548,10.2613015,30.23158881,3.118785311,3.785027284,1567.831159,41.48566755,1205.185057,12.14038413,836.5463104,128.7632851,52.12031022,134.2229736,3619.844348,73897.19027
80.808234,30,39.05534514,8.787452657,7,51.462,220.973,30.27,231.56925,19334,1.99916274,0.227452994,30,3.341855833,10.23496385,30.21230568,3.156696769,3.789481263,1567.71118,41.62148658,1205.110023,12.17751864,836.4573185,128.7172761,52.2169272,134.2084597,3619.627181,73244.92601
83.947838,30,40.63283798,9.142388546,7,49.73,217.74,29.719,227.3496,18978,1.999008295,0.228385734,30,3.374346268,10.22632255,30.18433907,3.184612903,3.792136585,1567.339282,41.78364928,1204.835763,12.21175023,836.2287847,128.6591703,52.28095594,134.1733167,3618.856999,72905.25934
88.203323,30,42.71271483,9.610360837,7,47.194,214.339,29.059,222.30285,18321,1.998983869,0.229502082,30,3.391244044,10.23407303,30.15168109,3.198004457,3.792964202,1566.543277,41.96856875,1204.230334,12.23897641,835.7682786,128.5784329,52.2940311,134.1023818,3617.138876,72257.70326
93.782702,30,45.78788542,10.30227422,7,47.16,219.925,29.676,227.02215,17855,1.999087216,0.230723429,30,3.387736671,10.25839034,30.11895234,3.193428543,3.791688595,1565.271858,42.16018474,1203.254974,12.25602599,835.0510707,128.4739312,52.24434474,133.991455,3614.348713,71623.13171
94.211897,30,45.66357137,10.27430356,7,44.126,213.292,28.602,218.8053,17237,1.999320715,0.231948507,30,3.36640604,10.29473437,30.09019253,3.173706905,3.788664784,1563.632401,42.34260955,1201.99736,12.26431759,834.1385571,128.3524299,52.14176512,133.8498329,3610.726285,70880.77158
90.69359,30,44.2938539,9.966117132,7,40.893,207.115,27.556,210.8064,16453,1.999666016,0.232971528,30,3.326468532,10.34411335,30.06973739,3.13914836,3.783488116,1561.865482,42.48454331,1200.646519,12.26210932,833.167766,128.2347897,51.99433309,133.6993843,3606.812845,69901.00822
87.748895,30,43.69325295,9.830981914,7,39.927,201.059,26.776,204.8379,16548,2.000016506,0.233655329,30,3.276000691,10.40131862,30.06110024,3.095661374,3.776610275,1560.255585,42.56844348,1199.427719,12.25097712,832.2975108,128.1405973,51.82580181,133.5649871,3603.255132,69534.58967
