Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
82.724915,30,38.04711715,8.560601359,7,58.476,224.352,31.425,240.4035,21477,2.230817481,0.201318631,30,3.500877381,10.95117332,29.81589677,4.389205429,3.74312769,1560.506496,35.85923437,1147.465961,10.3256237,879.0817373,130.7405019,36.1830009,128.0182076,3586.591919,74393.58568
80.175069,30,37.86820549,8.520346236,7,58.459,224.324,31.42,240.36525,21474,2.19618029,0.20417366,30,3.735748132,10.90802226,29.76770262,4.580931581,3.749912949,1557.521531,36.29395593,1145.37821,10.44600216,877.2029508,130.3529624,36.61649005,127.7828729,3579.978088,74419.93843
80.235649,30,38.47559729,8.657009391,7,53.069,224.373,30.827,235.8258,19620,2.172276872,0.206906777,30,3.917394824,10.88804533,29.71895499,4.732358968,3.753907953,1554.725495,36.71190036,1143.411796,10.54870244,875.4258034,130.0070618,36.97842605,127.5640564,3573.789873,72583.79507
80.808234,30,39.05534514,8.787452657,7,51.462,220.973,30.27,231.56925,19334,2.157800872,0.209577324,30,4.041142928,10.89390434,29.66722806,4.83990417,3.75493425,1552.139103,37.12395064,1141.579722,10.63542804,873.7581867,129.7067349,37.26059649,127.3633336,3568.079997,72283.0159
83.947838,30,40.63283798,9.142388546,7,49.73,217.74,29.719,227.3496,18978,2.148404923,0.212443695,30,4.12826842,10.90359771,29.6121245,4.91670784,3.755913269,1549.658627,37.57317558,1139.816041,10.71871703,872.1327021,129.4299406,37.49256837,127.168775,3562.626289,71927.36908
88.203323,30,42.71271483,9.610360837,7,47.194,214.339,29.059,222.30285,18321,2.144345034,0.215444579,30,4.174735006,10.91915512,29.557539,4.960943538,3.756345804,1547.219785,38.04712748,1138.07049,10.79601462,870.5109034,129.1724445,37.66733917,126.9750496,3557.267156,71273.29694
93.782702,30,45.78788542,10.30227422,7,47.16,219.925,29.676,227.02215,17855,2.145186112,0.218469555,30,4.182086492,10.94081376,29.50749121,4.975069193,3.755940236,1544.835173,38.52627698,1136.352832,10.86660509,868.9019887,128.9338245,37.78967622,126.7834456,3552.016686,70805.53123
94.211897,30,45.66357137,10.27430356,7,44.126,213.292,28.602,218.8053,17237,2.149936234,0.221360511,30,4.1562168,10.96746204,29.46589194,4.964250087,3.754574724,1542.620153,38.98536942,1134.752574,10.93065984,867.3782367,128.7211308,37.87292348,126.6042162,3547.128179,70188.81723
90.69359,30,44.2938539,9.966117132,7,40.893,207.115,27.556,210.8064,16453,2.158053423,0.223876772,30,4.100221896,11.00278171,29.43686246,4.931229381,3.751478784,1540.768462,39.38690498,1133.41676,10.9849727,866.0612621,128.5514743,37.92544904,126.4552383,3543.035061,69406.46922
87.748895,30,43.69325295,9.830981914,7,39.927,201.059,26.776,204.8379,16548,2.167023723,0.225931206,30,4.031005092,11.03818734,29.42324424,4.88648713,3.747572883,1539.473307,39.72033827,1132.498286,11.03247618,865.0704472,128.4348096,37.97475303,126.3527904,3540.184444,69493.12026
81.689829,30,41.18443509,9.266497896,7,38.351,196.112,26.051,199.29315,16295,2.174738368,0.227451101,30,3.962313815,11.06783346,29.42757996,4.838196472,3.74343453,1538.915903,39.97779666,1132.139041,11.07427384,864.5182137,128.3821553,38.0423351,126.3125037,3538.998436,69243.27138
81.205098,30,41.23894258,9.278762081,7,33.82,190.698,24.946,190.8399,14743,2.183524794,0.228132075,30,3.878366058,11.11330957,29.4523642,4.775837629,3.73604416,1539.241189,40.11025423,1132.438558,11.09660754,864.5002381,128.4192468,38.10138196,126.3504419,3539.797902,67703.89511
69.864561,30,37.81056681,8.507377533,7,30.127,183.215,23.705,181.341,13613,2.194959335,0.227836988,30,3.770245918,11.18561471,29.49794488,4.692260136,3.723935505,1540.484506,40.09453433,1133.417101,11.09088689,865.0435806,128.5580092,38.13157252,126.4715594,3542.660188,66569.85326
70.783518,30,35.54429078,7.997465426,7,27.179,174.894,22.453,171.76245,12807,2.208218775,0.226656595,30,3.645963476,11.2738894,29.56424857,4.590369215,3.708569311,1542.602967,39.94488862,1135.045072,11.05842541,866.1237099,128.7926305,38.13695021,126.6710806,3547.495241,65760.74231
65.087997,30,32.26170237,7.258883034,7,24.696,166.418,21.235,162.447,12173,2.223700925,0.224641611,30,3.506478927,11.37046194,29.65203473,4.468964972,3.690949549,1545.526485,39.66757965,1137.268664,10.99770455,867.6997041,129.1182162,38.11031424,126.9422157,3554.142787,65125.09866
60.260941,30,29.49969661,6.637431738,7,22.34,157.98,20.036,153.2724,11533,2.242996673,0.221813167,30,3.346654015,11.47233193,29.76181434,4.323711705,3.671485324,1549.194866,39.26369002,1140.036815,10.90561323,869.7351497,129.5332441,38.03633771,127.2793433,3562.458727,64485.11781
57.665647,30,28.02133887,6.304801246,7,22.416,150.774,19.243,147.2112,12198,2.265360432,0.218323292,30,3.174644725,11.56328907,29.89357417,4.15895737,3.652356064,1553.618954,38.75858412,1143.357344,10.78730714,872.2308713,130.0334367,37.923844,127.6809271,3572.471181,65137.68637
55.353103,30,26.60855863,5.986925692,7,20.641,144.789,18.381,140.6154,11640,2.292650444,0.214211684,30,2.984208296,11.64233169,30.04637398,3.971257982,3.633784395,1558.827634,38.15856854,1147.243313,10.64243998,875.1989623,130.623498,37.76193697,128.148728,3584.239219,64591.30955
52.000429,30,24.51188109,5.515173246,7,20.38,139.342,17.747,135.7638,11978,2.328627453,0.20950916,30,2.766412469,11.71364861,30.21736476,3.755568112,3.615429803,1564.842341,37.4678447,1151.698927,10.47026936,878.6462462,131.3090202,37.53551218,128.6841516,3597.801812,64920.79843
52.505349,30,24.82153429,5.584845216,7,21.877,136.217,17.566,134.3799,13272,2.371064185,0.204455091,30,2.539656563,11.75400116,30.4041052,3.52326286,3.600533091,1571.753085,36.72873449,1156.796564,10.28315006,882.6163874,132.0855631,37.27419754,129.2911809,3613.377082,66205.61551
53.010269,30,24.94770749,5.613234186,7,20.272,133.834,17.123,130.9902,12452,2.426102586,0.199049772,30,2.290705911,11.77632819,30.6012978,3.26699505,3.587733912,1579.460615,35.93753512,1162.448354,10.07820018,887.0475145,132.9511705,36.95382062,129.9621248,3630.72357,65405.60139
52.606333,30,25.00477693,5.62607481,7,21.441,131.837,17.031,130.2864,13453,2.499914568,0.193392343,30,2.02154925,11.78131405,30.80252033,2.987060261,3.577375908,1587.79982,35.10664771,1168.524324,9.858069171,891.8387637,133.8913258,36.56814243,130.6820103,3649.456473,66389.49265
