Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
82.724915,30,38.04711715,8.560601359,7,58.476,224.352,31.425,240.4035,21477,1.982895756,0.200486046,30,3.685786069,10.83007599,29.61990376,4.147062105,3.771122197,1561.912711,35.46820638,1138.96703,10.33239198,880.6915734,131.1195461,38.31205278,128.0000331,3583.631262,70279.16827
80.175069,30,37.86820549,8.520346236,7,58.459,224.324,31.42,240.36525,21474,2.045262583,0.203376201,30,3.926852582,10.79850035,29.56403655,4.349802205,3.776723953,1558.837993,35.93072303,1136.856253,10.46233866,878.7883754,130.7229664,38.76092717,127.7589336,3576.908885,74243.47393
80.235649,30,38.47559729,8.657009391,7,53.069,224.373,30.827,235.8258,19620,1.991771635,0.206684941,30,4.16255873,10.74286834,29.50789697,4.538849946,3.785784195,1555.885975,36.43638076,1134.839128,10.59302094,876.9439581,130.3380717,39.20139827,127.5225527,3570.485466,69725.59398
80.808234,30,39.05534514,8.787452657,7,51.462,220.973,30.27,231.56925,19334,1.992708164,0.209284431,30,4.278536273,10.76620601,29.45420928,4.641384958,3.78463067,1553.256502,36.83695548,1133.00878,10.6719173,875.2866899,130.0475259,39.46104599,127.3206306,3564.757872,68524.45526
83.947838,30,40.63283798,9.142388546,7,49.73,217.74,29.719,227.3496,18978,1.996896078,0.211868466,30,4.338330602,10.80971289,29.39997157,4.699274693,3.78113553,1550.777436,37.23798668,1131.26991,10.73434168,873.7028923,129.7976957,39.63644995,127.1309221,3559.373952,68406.87639
88.203323,30,42.71271483,9.610360837,7,47.194,214.339,29.059,222.30285,18321,1.999693099,0.214620888,30,4.362141554,10.8527597,29.34731356,4.727255233,3.777874965,1548.351931,37.66828928,1129.55727,10.7925241,872.1293337,129.5658728,39.75919949,126.9423018,3554.109985,68092.78815
93.782702,30,45.78788542,10.30227422,7,47.16,219.925,29.676,227.02215,17855,2.001939615,0.217481305,30,4.353759156,10.89425032,29.29850018,4.730636204,3.774822421,1545.978132,38.11726328,1127.869769,10.84938012,870.5644825,129.347275,39.841215,126.7545205,3548.947498,67607.8402
94.211897,30,45.66357137,10.27430356,7,44.126,213.292,28.602,218.8053,17237,2.004066006,0.220247613,30,4.313277055,10.93944837,29.2565124,4.711283838,3.77106436,1543.760486,38.55200821,1126.286637,10.90264998,869.0749655,129.1509359,39.88896116,126.5776799,3544.112216,66780.60862
90.69359,30,44.2938539,9.966117132,7,40.893,207.115,27.556,210.8064,16453,2.006012133,0.222664403,30,4.241910844,10.99380029,29.22528841,4.670089788,3.765612453,1541.875424,38.93223171,1124.941815,10.94748442,867.7731057,128.9941172,39.90733852,126.4283919,3539.998617,65834.33486
87.748895,30,43.69325295,9.830981914,7,39.927,201.059,26.776,204.8379,16548,2.006569627,0.224645549,30,4.156521528,11.04824535,29.20789118,4.617116197,3.75944151,1540.502157,39.24748113,1123.977434,10.98627615,866.7701825,128.885864,39.9233936,126.3216451,3537.021708,65684.30058
81.689829,30,41.18443509,9.266497896,7,38.351,196.112,26.051,199.29315,16295,2.00621575,0.226094145,30,4.068834361,11.09846392,29.20731838,4.559021197,3.752905835,1539.818093,39.48614596,1123.530478,11.01885045,866.1768455,128.8382676,39.95517082,126.2729229,3535.592419,65214.18497
81.205098,30,41.23894258,9.278762081,7,33.82,190.698,24.946,190.8399,14743,2.006767313,0.226738545,30,3.96682432,11.16214101,29.22639021,4.486938961,3.743487378,1539.970731,39.60529046,1123.703091,11.03321015,866.0900022,128.8755995,39.98037382,126.2979857,3536.040325,63700.55486
69.864561,30,37.81056681,8.507377533,7,30.127,183.215,23.705,181.341,13613,2.007861336,0.226463756,30,3.844803393,11.24770938,29.26567977,4.395585594,3.730042918,1541.011976,39.5858674,1124.528879,11.02240381,866.54626,129.0095018,39.98372479,126.4028887,3538.482977,62435.44836
